Date,Uvmean,UVMax,UVmean24,UVMax24
2021-03-31,1.36375,4.08,0.7025,2.92
2021-03-30,0.7025,2.92,0.650416667,2.67
2021-03-29,0.650416667,2.67,0.412916667,2.05
2021-03-28,0.412916667,2.05,0.577916667,2.88
2021-03-27,0.577916667,2.88,0.596666667,2.77
2021-03-26,0.596666667,2.77,0.73375,3.33
2021-03-25,0.73375,3.33,0.608333333,2.7
2021-03-24,0.608333333,2.7,0.5475,2.52
2021-03-23,0.5475,2.52,0.595416667,2.65
2021-03-22,0.595416667,2.65,0.291666667,1.35
2021-03-21,0.291666667,1.35,0.3775,1.85
2021-03-20,0.3775,1.85,0.395,1.75
2021-03-19,0.395,1.75,0.280416667,1.67
2021-03-18,0.280416667,1.67,0.672916667,3.02
2021-03-17,0.672916667,3.02,0.575,2.48
2021-03-16,0.575,2.48,0.614583333,2.75
2021-03-15,0.614583333,2.75,0.240416667,1.27
2021-03-14,0.240416667,1.27,0.553333333,2.67
2021-03-13,0.553333333,2.67,0.485416667,2.48
2021-03-12,0.485416667,2.48,0.512916667,2.4
2021-03-11,0.512916667,2.4,0.437083333,2.1
2021-03-10,0.437083333,2.1,0.3825,1.77
2021-03-09,0.3825,1.77,0.421666667,2.1
2021-03-08,0.421666667,2.1,0.2475,1.2
2021-03-07,0.2475,1.2,0.302916667,1.6
2021-03-06,0.302916667,1.6,0.269583333,1.73
2021-03-05,0.269583333,1.73,0.224166667,1.5
2021-03-04,0.224166667,1.5,0.33875,1.85
2021-03-03,0.33875,1.85,0.3175,1.6
2021-03-02,0.3175,1.6,0.272083333,1.42
2021-03-01,0.272083333,1.42,0.227916667,1.15
2021-02-28,0.227916667,1.15,0.276666667,1.42
2021-02-27,0.276666667,1.42,0.25875,1.33
2021-02-26,0.25875,1.33,0.238333333,1.27
2021-02-25,0.238333333,1.27,0.267083333,1.45
2021-02-24,0.267083333,1.45,0.228333333,1.23
2021-02-23,0.228333333,1.23,0.23625,1.42
2021-02-22,0.23625,1.42,0.159583333,0.95
2021-02-21,0.159583333,0.95,0.12,0.67
2021-02-20,0.12,0.67,0.171666667,0.88
2021-02-19,0.171666667,0.88,0.1675,0.88
2021-02-18,0.1675,0.88,0.258333333,1.42
2021-02-17,0.258333333,1.42,0.221666667,1.15
2021-02-16,0.221666667,1.15,0.2125,1.15
2021-02-15,0.2125,1.15,0.162916667,0.92
2021-02-14,0.162916667,0.92,0.15625,0.98
2021-02-13,0.15625,0.98,0.161666667,0.95
2021-02-12,0.161666667,0.95,0.155833333,0.88
2021-02-11,0.155833333,0.88,0.128333333,0.73
2021-02-10,0.128333333,0.73,0.161666667,0.92
2021-02-09,0.161666667,0.92,0.125416667,0.83
2021-02-08,0.125416667,0.83,0.115,0.67
2021-02-07,0.115,0.67,0.098333333,0.67
2021-02-06,0.098333333,0.67,0.127916667,0.75
2021-02-05,0.127916667,0.75,0.097083333,0.55
2021-02-04,0.097083333,0.55,0.124166667,0.77
2021-02-03,0.124166667,0.77,0.07,0.38
2021-02-02,0.07,0.38,0.026666667,0.15
2021-02-01,0.026666667,0.15,0.055833333,0.45
2021-01-31,0.055833333,0.45,0.062083333,0.42
2021-01-30,0.062083333,0.42,0.083333333,0.5
2021-01-29,0.083333333,0.5,0.0825,0.5
2021-01-28,0.0825,0.5,0.0625,0.42
2021-01-27,0.0625,0.42,0.084583333,0.5
2021-01-26,0.084583333,0.5,0.067083333,0.42
2021-01-25,0.067083333,0.42,0.075833333,0.45
2021-01-24,0.075833333,0.45,-41.55416667,0.5
2021-01-23,-41.55416667,0.5,0.0925,0.55
2021-01-22,0.0925,0.55,0.090833333,0.55
2021-01-21,0.090833333,0.55,0.07375,0.48
2021-01-20,0.07375,0.48,0.077083333,0.48
2021-01-19,0.077083333,0.48,0.082916667,0.55
2021-01-18,0.082916667,0.55,0.0675,0.4
2021-01-17,0.0675,0.4,0.05,0.35
2021-01-16,0.05,0.35,0.07625,0.48
2021-01-15,0.07625,0.48,0.051666667,0.33
2021-01-14,0.051666667,0.33,0.05375,0.33
2021-01-13,0.05375,0.33,-41.5975,0.25
2021-01-12,-41.5975,0.25,0.035,0.25
2021-01-11,0.035,0.25,0.031666667,0.2
2021-01-10,0.031666667,0.2,0.03125,0.23
2021-01-09,0.03125,0.23,0.030833333,0.2
2021-01-08,0.030833333,0.2,-41.59125,0.27
2021-01-07,-41.59125,0.27,0.037083333,0.27
2021-01-06,0.037083333,0.27,0.015416667,0.12
2021-01-05,0.015416667,0.12,-41.605,0.25
2021-01-04,-41.605,0.25,0.030416667,0.23
2021-01-03,0.030416667,0.23,0.01625,0.1
2021-01-02,0.01625,0.1,-41.60583333,0.15
2021-01-01,-41.60583333,0.15,0.039166667,0.27
