YEAR,MO,DY,Date,UV
2012,12,31,31/12/2012,0
2012,12,31,31/12/2012,0
2012,12,31,31/12/2012,0
2012,12,31,31/12/2012,0
2012,12,31,31/12/2012,0
2012,12,31,31/12/2012,0
2012,12,31,31/12/2012,0
2012,12,31,31/12/2012,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0.02
2013,1,1,1/1/2013,0.05
2013,1,1,1/1/2013,0.15
2013,1,1,1/1/2013,0.3
2013,1,1,1/1/2013,0.35
2013,1,1,1/1/2013,0.25
2013,1,1,1/1/2013,0.12
2013,1,1,1/1/2013,0.02
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,1,1/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0.02
2013,1,2,2/1/2013,0.05
2013,1,2,2/1/2013,0.2
2013,1,2,2/1/2013,0.35
2013,1,2,2/1/2013,0.42
2013,1,2,2/1/2013,0.3
2013,1,2,2/1/2013,0.12
2013,1,2,2/1/2013,0.05
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,2,2/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0
2013,1,3,3/1/2013,0.02
2013,1,3,3/1/2013,0.08
2013,1,3,3/1/2013,0.23
