Date,Q_FLAG,LATITUDE,LONGITUDE,DEPTH,VCAR,VTPK,VWH$,VCMX,VTP$,WDIR,WSPD,GSPD,WDIR2,WSPD2,GSPD2,ATMS,ATMS2,DRYT,SSTP
01/01/2005,1,49.91,124.99,14,0.3925,3.1775,0.4,0.675,3.1375,321.2083333,7.8,9.55,315.75,7.941666667,9.691666667,1007.541667,1007.529167,2.0375,7.145833333
01/01/2006,1,49.91,124.99,14,1.024166667,4.754166667,1.029166667,1.804166667,4.833333333,129.5416667,10.9125,13.53333333,124.625,10.95416667,13.63333333,989.6333333,989.35,8.995833333,8.695833333
01/01/2007,1,49.91,124.99,14,1.507916667,5.520416667,1.620833333,3.279166667,5.583333333,118.9166667,11.9375,14.98333333,119,12.45833333,15.72916667,1018.733333,1018.8125,7.275,7.520833333
01/01/2008,1,49.91,124.99,14,0.755416667,4.121666667,0.758333333,1.8125,4.070833333,118,7.629166667,9.4125,122.375,7.933333333,9.9125,1024.4875,1024.454167,5.633333333,7.116666667
01/01/2009,1,49.91,124.99,14,0.386666667,3.199583333,0.395833333,0.925,3.241666667,212,5.258333333,6.583333333,198.8333333,5.529166667,7.020833333,1007.533333,1007.566667,3.225,7.141666667
01/01/2010,1,49.91,124.99,14,1.172727273,5.16,1.181818182,2.313636364,5.077272727,140.1818182,10.58636364,13.03181818,125.3636364,11.08181818,13.76818182,1002.022727,1002.068182,7.490909091,7.818181818
01/01/2011,1.625,49.91,124.99,14,0.085,2.646666667,0.079166667,0.2875,2.629166667,255.7083333,2.3625,3.3625,250,2.495833333,3.5875,1020.091667,1019.958333,0.091666667,6.791666667
01/01/2012,1,49.91,124.99,14,0.6125,4.201666667,0.616666667,1.783333333,4.283333333,132.4583333,6.683333333,8.1375,133.25,6.845833333,8.541666667,1025.4125,1025.270833,-51.3,7.291666667
01/01/2013,2.875,49.91,124.99,14,0.0625,10.76166667,0.033333333,0.075,3.5125,89.79166667,2.370833333,3.245833333,88.16666667,2.491666667,3.429166667,1031.795833,1031.795833,4.579166667,6.7875
01/01/2014,3.875,49.91,124.99,14,0.179583333,21.37416667,0.141666667,0.375,3.683333333,137.5,3.3125,3.929166667,106,3.45,4.120833333,1028.716667,1028.716667,7.004166667,7.370833333
01/01/2015,1.25,49.91,124.99,14,0.057916667,12.36791667,0.033333333,0.108333333,4.454166667,243.9166667,1.745833333,2.6125,0,0,0,1029.254167,1029.254167,2.825,6.879166667
01/01/2016,2,49.91,124.99,14,0.08875,14.07541667,0.0875,0.158333333,3.341666667,149.125,1.841666667,2.908333333,152.75,2.0125,3.120833333,1032.795833,1032.779167,2.808333333,7.325
01/01/2017,3.625,49.91,124.99,14,0.755625,25.385625,0.6375,1.41875,3.48125,324.4375,8.59375,10.7875,325.4375,8.78125,11.23125,1010.05,1010.05,3.65,7.6875
01/01/2018,1.25,49.91,124.99,14,0.093333333,21.54791667,0.1,0.416666667,2.554166667,300.6666667,1.825,2.7,233.5,2.041666667,2.970833333,1029.233333,1029.208333,2.558333333,5.970833333
01/01/2019,2.25,49.91,124.99,14,0.137916667,19.56541667,0.116666667,0.270833333,2.545833333,225.4166667,1.495833333,2.1625,249.0833333,1.770833333,2.475,1030.729167,1030.7,5.141666667,7.2875
01/01/2021,0,49.91,124.99,14,10000,10000,1.323809524,3.1,4.885714286,124.2380952,11.43333333,14.03333333,0,0,0,1008.461905,1008.447619,7.838095238,-38.41904762
01/01/2022,0,49.91,124.99,14,10000,10000,1.008695652,2.947826087,4.186956522,142.5217391,8.326086957,10.61304348,0,0,0,1020.286957,1020.265217,3.913043478,-51.3
01/02/2005,1,49.91,124.99,14,0.2425,2.588333333,0.25,0.454166667,2.6625,311.7916667,5.3125,6.708333333,305.9166667,5.4125,6.8375,1020.179167,1020.166667,2.104166667,7.104166667
01/02/2006,1.166666667,49.91,124.99,14,1.072083333,4.699583333,1.079166667,2.670833333,4.708333333,139.7083333,10.32916667,13.13333333,134.2916667,10.33333333,13.175,994.775,994.5083333,8.8625,8.854166667
01/02/2007,1,49.91,124.99,14,1.216956522,5.271304348,1.352173913,2.673913043,5.2,128.7826087,10.23478261,12.75217391,127.0434783,10.74347826,13.46956522,1001.7,1001.791304,9.030434783,7.686956522
01/02/2008,1,49.91,124.99,14,1.43125,5.3825,1.429166667,3.0125,5.3375,134.5,9.8125,12.22916667,138.25,10.29583333,12.975,1007.833333,1007.820833,6.658333333,7.208333333
01/02/2009,1,49.91,124.99,14,0.426666667,2.9475,0.425,1.0125,3.033333333,286.7083333,7.179166667,8.7375,302.2916667,7.545833333,9.270833333,1005.858333,1005.904167,1.583333333,6.854166667
01/02/2010,1.125,49.91,124.99,14,0.29875,2.859583333,0.3,0.633333333,2.916666667,266.25,2.995833333,3.720833333,254.4166667,3.191666667,3.9875,1014.679167,1014.725,6.883333333,7.620833333
01/02/2011,2.5,49.91,124.99,14,0.0525,2.520833333,0.05,0.179166667,2.5125,189.6666667,2.104166667,3.004166667,198.375,2.266666667,3.208333333,1024.229167,1024.1,2.2,6.583333333
01/02/2012,1,49.91,124.99,14,0.776956522,4.564347826,0.77826087,1.8,4.573913043,130,7.704347826,9.52173913,130,7.617391304,9.747826087,1013.230435,1013.078261,-51.3,7.334782609
01/02/2013,1.125,49.91,124.99,14,0.106666667,22.02583333,0.1,0.195833333,2.4125,93.83333333,2.8375,3.725,93.33333333,2.933333333,3.925,1027.579167,1027.579167,4.108333333,6.804166667
01/02/2014,3,49.91,124.99,14,0.857083333,20.20333333,0.7875,1.758333333,4.05,157.5416667,7.8,9.358333333,128.1666667,8.079166667,9.866666667,1019.383333,1019.383333,7.366666667,7.741666667
01/02/2015,2.375,49.91,124.99,14,0.139583333,17.4175,0.108333333,0.2875,3.2625,124.1666667,2.333333333,3.270833333,0,0,0,1021.483333,1021.475,3.6,7.166666667
01/02/2016,2.125,49.91,124.99,14,0.089166667,13.44291667,0.0875,0.1625,4.645833333,206.5833333,1.733333333,2.775,210.7083333,1.879166667,2.954166667,1025.2125,1025.2125,2.3875,6.820833333
01/02/2017,3.428571429,49.91,124.99,14,0.447619048,27.33952381,0.333333333,0.99047619,2.723809524,85.47619048,5.433333333,6.995238095,86.85714286,5.723809524,7.328571429,1017.885714,1017.880952,2.152380952,7.19047619
01/02/2018,1,49.91,124.99,14,0.069583333,17.325,0.1,0.120833333,2.554166667,271.3333333,1.575,2.375,175.5833333,1.8,2.641666667,1030.416667,1030.391667,2.9625,5.779166667
01/02/2019,3.285714286,49.91,124.99,14,1.161428571,22.80333333,1.00952381,2.576190476,4.538095238,114,9.176190476,11.07619048,138.5238095,9.771428571,11.83333333,1021.452381,1021.447619,6.095238095,7.747619048
01/02/2020,4,49.91,124.99,14,1.03,28.44,1,1.6,4.1,119,10.7,12.5,0,0,0,1012.8,1012.8,3.3,8.8
01/02/2021,0,49.91,124.99,14,10000,10000,1.268181818,3.368181818,4.768181818,140.4090909,11.28181818,14.14545455,0,0,0,998.5590909,998.5409091,9.127272727,-45.23636364
01/02/2022,0,49.91,124.99,14,10000,10000,2.394444444,8.777777778,6.233333333,127.8333333,15.12777778,18.99444444,0,0,0,1003.427778,1003.394444,4.555555556,-51.3
01/03/2005,1.75,49.91,124.99,14,0.071666667,3.414166667,0.075,0.145833333,3.233333333,286.5,2.991666667,4.183333333,296,3.045833333,4.3,1024.816667,1024.808333,1.604166667,6.429166667
01/03/2006,1,49.91,124.99,14,0.6375,3.767916667,0.6375,1.183333333,3.766666667,170.7083333,7.4,9.308333333,165.0416667,7.354166667,9.275,1006.5875,1006.295833,7.225,8.7
01/03/2007,2.25,49.91,124.99,14,0.054583333,3.74,0.1875,0.429166667,2.933333333,218,2.233333333,3.166666667,219.5833333,2.5125,3.525,1001.741667,1001.825,7.075,7.691666667
01/03/2008,1,49.91,124.99,14,1.77625,5.825416667,1.775,3.679166667,5.729166667,116.75,11.80416667,14.70833333,120.0416667,12.37916667,15.50833333,997.1083333,997.0625,7.729166667,7.383333333
01/03/2009,1,49.91,124.99,14,0.766666667,4.022916667,0.779166667,1.5625,3.891666667,157.2083333,6.929166667,8.870833333,144.9583333,7.258333333,9.3875,1017.9125,1017.979167,2.291666667,6.820833333
01/03/2010,2.625,49.91,124.99,14,0.05125,2.84625,0.045833333,0.108333333,2.6625,179.1666667,1.708333333,2.208333333,172,1.9375,2.470833333,1025.133333,1025.208333,6.758333333,7.320833333
01/03/2011,2.125,49.91,124.99,14,0.057916667,2.478333333,0.0625,0.245833333,2.516666667,304.0416667,2.216666667,3.220833333,299.4583333,2.3625,3.495833333,1024.345833,1024.2125,2.25,6.3625
01/03/2012,1,49.91,124.99,14,0.986086957,4.637826087,0.991304348,2.395652174,4.665217391,138.0434783,9.443478261,11.67391304,138.0869565,9.543478261,11.9826087,1016.791304,1016.643478,-51.3,7.630434783
01/03/2013,1.625,49.91,124.99,14,0.120416667,18.79708333,0.116666667,0.183333333,2.666666667,67.58333333,2.7875,3.5375,66.45833333,2.8875,3.745833333,1021.9875,1021.9875,3.508333333,6.641666667
01/03/2014,4,49.91,124.99,14,0.6745,28.298,0.525,1.575,3.305,280.9,8.915,10.825,319.65,9.26,11.36,1019.14,1019.14,6.72,7.585
01/03/2015,2.375,49.91,124.99,14,0.192083333,19.72916667,0.170833333,0.375,3.141666667,173.75,2.929166667,3.970833333,0,0,0,1023.691667,1023.691667,4.270833333,7.0125
01/03/2016,1.375,49.91,124.99,14,0.075,9.637916667,0.0875,0.133333333,5.170833333,109.3333333,2.2875,3.470833333,70.29166667,2.45,3.6,1019.354167,1019.35,2.091666667,6.683333333
01/03/2017,2.875,49.91,124.99,14,0.341666667,23.49666667,0.2625,0.866666667,2.983333333,231.625,4.508333333,5.783333333,235.625,4.733333333,6.079166667,1026.825,1026.820833,0.695833333,6.9625
01/03/2018,1.125,49.91,124.99,14,0.070416667,16.61916667,0.1,0.1125,3.066666667,284.25,1.291666667,2.091666667,187.625,1.529166667,2.3625,1024.645833,1024.6125,2.6,6.075
01/03/2019,2.090909091,49.91,124.99,14,1.814090909,14.08045455,1.695454545,3.709090909,5.727272727,116.5454545,10.43181818,12.9,140.1363636,11.03181818,13.77727273,1004.245455,1004.2,7.977272727,8.377272727
01/03/2020,2.227272727,49.91,124.99,14,1.967272727,15.15545455,1.822727273,4.086363636,5.872727273,122.8636364,13.51363636,16.50909091,0,0,0,1004.25,1004.25,7.777272727,9.054545455
01/03/2021,0,49.91,124.99,14,10000,10000,0.375,0.866666667,3.770833333,179.7916667,3.258333333,4.520833333,0,0,0,1004.6875,1004.679167,7.283333333,-51.3
01/03/2022,0,49.91,124.99,14,10000,10000,1.145454545,2.845454545,4.463636364,150.5909091,8.5,10.68636364,0,0,0,991.15,991.1272727,5.836363636,-51.3
01/04/2005,1.782608696,49.91,124.99,14,0.122173913,3.805217391,0.117391304,0.3,3.204347826,267.3043478,3.273913043,4.486956522,278,3.304347826,4.556521739,1024.6,1024.586957,1.804347826,6.130434783
01/04/2006,1,49.91,124.99,14,1.203333333,5.178333333,1.2125,2.141666667,5.070833333,136.9166667,10.67916667,13.34583333,131.5833333,10.7375,13.425,1018.658333,1018.391667,8.0625,8.6375
01/04/2007,1.391304348,49.91,124.99,14,0.087826087,3.74,0.265217391,0.508695652,3.143478261,277.0434783,4.308695652,5.656521739,276.8695652,4.634782609,6.039130435,1010.191304,1010.278261,5.273913043,7.647826087
01/04/2008,1.25,49.91,124.99,14,1.437916667,5.330833333,1.433333333,3.095833333,5.258333333,119.5,11.15833333,14.00416667,122.7083333,11.68333333,14.725,981.6125,981.5833333,7.7625,7.491666667
01/04/2009,1,49.91,124.99,14,1.7925,5.63875,1.791666667,4.379166667,5.645833333,130.9166667,12.4125,15.25,119.0416667,12.84583333,15.98333333,1014.016667,1014.066667,4.5,6.975
01/04/2010,3.375,49.91,124.99,14,0.04125,3.5475,0.020833333,0.108333333,2.55,195.1666667,2.141666667,2.633333333,195.0416667,2.304166667,2.829166667,1019.5375,1019.575,6.225,7.079166667
01/04/2011,2.375,49.91,124.99,14,0.15,2.881666667,0.133333333,0.408333333,2.891666667,148.3333333,2.608333333,3.545833333,145.9166667,2.7875,3.8375,1023.35,1023.229167,3.329166667,6.470833333
01/04/2012,1,49.91,124.99,14,1.6835,5.8695,1.695,4.245,5.855,124.35,12.9,15.89,127.3,13.21,16.51,1010.97,1010.83,-51.3,7.76
01/04/2013,3,49.91,124.99,14,0.301666667,20.99916667,0.270833333,0.6125,3.091666667,148.0833333,3.1625,4.0875,149.0416667,3.2625,4.270833333,1022.9,1022.904167,4.445833333,6.845833333
01/04/2014,2.909090909,49.91,124.99,14,0.257272727,27.49454545,0.181818182,0.895454545,2.513636364,220.8636364,3.990909091,5.063636364,267.1818182,4.190909091,5.345454545,1030.718182,1030.718182,4.268181818,7.427272727
01/04/2015,2.714285714,49.91,124.99,14,1.11,18.76809524,1.052380952,1.885714286,4.666666667,112.1428571,8.633333333,10.3,0,0,0,1020.314286,1020.295238,4.395238095,7.523809524
01/04/2016,2.875,49.91,124.99,14,0.164166667,20.93333333,0.129166667,0.4125,3.508333333,298.0833333,3.058333333,4.1875,299.5833333,3.2625,4.466666667,1011.241667,1011.233333,1.7875,6.183333333
01/04/2017,2.375,49.91,124.99,14,0.155,18.14041667,0.133333333,0.366666667,3.0125,274.7916667,2.879166667,3.85,277.8333333,3.058333333,4.095833333,1027.816667,1027.8125,1.3625,6.7
01/04/2018,1,49.91,124.99,14,0.063333333,13.16916667,0.1,0.058333333,2.808333333,215.1666667,0.975,1.691666667,177.9166667,1.220833333,1.933333333,1017.658333,1017.633333,2.545833333,6.1625
01/04/2019,3.428571429,49.91,124.99,14,1.246666667,23.9352381,1.104761905,2.414285714,4.571428571,117.1904762,10.4,12.82380952,142.047619,11.07619048,13.73333333,999.8380952,999.7952381,9.038095238,8.471428571
01/04/2020,3.25,49.91,124.99,14,0.702083333,23.60333333,0.629166667,1.5,3.595833333,181.0833333,6.329166667,8.079166667,0,0,0,1010.2125,1010.208333,7.508333333,9.070833333
