Date,SLEV(metres),StationID,
2005-01-01,3.216,7735,
2005-01-02,3.06,7735,
2005-01-03,2.986,7735,
2005-01-04,2.942,7735,
2005-01-05,2.984,7735,
2005-01-06,3.161,7735,
2005-01-07,3.359,7735,
2005-01-08,3.529,7735,
2005-01-09,3.402,7735,
2005-01-10,3.332,7735,
2005-01-11,3.315,7735,
2005-01-12,3.262,7735,
2005-01-13,3.012,7735,
2005-01-14,2.877,7735,
2005-01-15,2.858,7735,
2005-01-16,3.011,7735,
2005-01-17,3.218,7735,
2005-01-18,3.241,7735,
2005-01-19,3.307,7735,
2005-01-20,3.285,7735,
2005-01-21,3.237,7735,
2005-01-22,3.326,7735,
2005-01-23,3.309,7735,
2005-01-24,3.304,7735,
2005-01-25,3.247,7735,
2005-01-26,3.298,7735,
2005-01-27,3.264,7735,
2005-01-28,3.261,7735,
2005-01-29,3.137,7735,
2005-01-30,3.091,7735,
2005-01-31,3.085,7735,
2005-02-01,2.986,7735,
2005-02-02,2.98,7735,
2005-02-03,3.013,7735,
2005-02-04,3.166,7735,
2005-02-05,3.108,7735,
2005-02-06,3.266,7735,
2005-02-07,3.146,7735,
2005-02-08,3.067,7735,
2005-02-09,3.017,7735,
2005-02-10,2.975,7735,
2005-02-11,3.09,7735,
2005-02-12,3.092,7735,
2005-02-13,3.04,7735,
2005-02-14,2.957,7735,
2005-02-15,2.907,7735,
2005-02-16,2.9,7735,
2005-02-17,2.982,7735,
2005-02-18,3.126,7735,
2005-02-19,3.182,7735,
2005-02-20,3.12,7735,
2005-02-21,3.077,7735,
2005-02-22,3.079,7735,
2005-02-23,3.082,7735,
2005-02-24,3.126,7735,
2005-02-25,3.139,7735,
2005-02-26,3.141,7735,
2005-02-27,3.128,7735,
2005-02-28,3.153,7735,
2005-03-01,3.254,7735,
2005-03-02,3.209,7735,
2005-03-03,3.168,7735,
2005-03-04,3.116,7735,
2005-03-05,3.093,7735,
2005-03-06,3.062,7735,
2005-03-07,3.074,7735,
2005-03-08,3.072,7735,
2005-03-09,3.06,7735,
2005-03-10,3.013,7735,
2005-03-11,3.04,7735,
2005-03-12,2.926,7735,
2005-03-13,2.881,7735,
2005-03-14,2.967,7735,
2005-03-15,3.068,7735,
2005-03-16,3.212,7735,
2005-03-17,3.049,7735,
2005-03-18,3.15,7735,
2005-03-19,3.268,7735,
2005-03-20,3.44,7735,
2005-03-21,3.238,7735,
2005-03-22,3.172,7735,
2005-03-23,3.171,7735,
2005-03-24,3.125,7735,
2005-03-25,3.109,7735,
2005-03-26,3.325,7735,
2005-03-27,3.375,7735,
2005-03-28,3.38,7735,
2005-03-29,3.304,7735,
2005-03-30,3.013,7735,
2005-03-31,3.013,7735,
2005-04-01,3.113,7735,
2005-04-02,3.039,7735,
2005-04-03,3.233,7735,
2005-04-04,3.106,7735,
2005-04-05,3.134,7735,
2005-04-06,3.214,7735,
2005-04-07,3.308,7735,
2005-04-08,3.214,7735,
2005-04-09,3.08,7735,
2005-04-10,3.066,7735,
2005-04-11,3.156,7735,
2005-04-12,3.12,7735,
2005-04-13,3.067,7735,
2005-04-14,2.973,7735,
2005-04-15,3.084,7735,
2005-04-16,3.219,7735,
2005-04-17,3.121,7735,
2005-04-18,2.993,7735,
2005-04-19,2.956,7735,
2005-04-20,3.006,7735,
2005-04-21,2.97,7735,
2005-04-22,3.003,7735,
2005-04-23,3.128,7735,
2005-04-24,3.12,7735,
2005-04-25,3.105,7735,
2005-04-26,3.108,7735,
2005-04-27,3.14,7735,
2005-04-28,3.105,7735,
2005-04-29,3.032,7735,
2005-04-30,3.013,7735,
2005-05-01,3.02,7735,
2005-05-02,3.06,7735,
2005-05-03,3.092,7735,
2005-05-04,3.14,7735,
2005-05-05,3.175,7735,
2005-05-06,3.213,7735,
2005-05-07,3.174,7735,
2005-05-08,3.199,7735,
2005-05-09,3.231,7735,
2005-05-10,3.134,7735,
2005-05-11,3.052,7735,
2005-05-14,3.087,7735,
2005-05-15,3.162,7735,
2005-05-16,3.158,7735,
2005-05-17,3.199,7735,
2005-05-18,3.353,7735,
2005-05-19,3.301,7735,
2005-05-20,3.26,7735,
2005-05-21,3.202,7735,
2005-05-22,3.296,7735,
2005-05-23,3.124,7735,
2005-05-24,2.998,7735,
2005-05-25,2.91,7735,
2005-05-26,2.953,7735,
2005-05-27,3.007,7735,
2005-05-28,3.106,7735,
2005-05-29,3.078,7735,
2005-05-30,3.046,7735,
2005-05-31,3.102,7735,
2005-06-01,3.127,7735,
2005-06-02,3.051,7735,
2005-06-03,3.053,7735,
2005-06-04,3.068,7735,
2005-06-05,3.127,7735,
2005-06-06,3.104,7735,
2005-06-07,3.062,7735,
2005-06-08,3.044,7735,
2005-06-09,3.019,7735,
2005-06-10,3.033,7735,
2005-06-11,3.05,7735,
2005-06-12,2.972,7735,
2005-06-13,2.994,7735,
2005-06-14,2.983,7735,
2005-06-15,2.988,7735,
2005-06-16,3.117,7735,
2005-06-17,3.152,7735,
2005-06-18,3.164,7735,
2005-06-19,3.109,7735,
2005-06-20,3.095,7735,
2005-06-21,3.172,7735,
2005-06-22,3.114,7735,
2005-06-23,3.052,7735,
2005-06-24,3.053,7735,
2005-06-25,3.032,7735,
2005-06-26,3.063,7735,
2005-06-27,3.077,7735,
2005-06-28,3.03,7735,
2005-06-29,3.044,7735,
2005-06-30,3.091,7735,
2005-07-01,3.054,7735,
2005-07-02,3.07,7735,
2005-07-03,3.035,7735,
2005-07-04,3.027,7735,
2005-07-05,3.062,7735,
2005-07-06,3.107,7735,
2005-07-07,3.056,7735,
2005-07-08,3.149,7735,
2005-07-09,3.097,7735,
2005-07-10,3.089,7735,
2005-07-11,3.266,7735,
2005-07-12,3.067,7735,
2005-07-13,3.02,7735,
2005-07-14,2.992,7735,
2005-07-15,3.041,7735,
2005-07-16,3.041,7735,
2005-07-17,3.051,7735,
2005-07-18,3.11,7735,
2005-07-19,3.107,7735,
2005-07-20,3.093,7735,
2005-07-21,3.095,7735,
2005-07-22,3.13,7735,
2005-07-23,3.073,7735,
2005-07-24,3.057,7735,
2005-07-25,3.021,7735,
2005-07-26,3.03,7735,
2005-07-27,3.058,7735,
2005-07-28,3.103,7735,
2005-07-29,3.126,7735,
2005-07-30,3.126,7735,
2005-07-31,3.129,7735,
2005-08-01,3.096,7735,
2005-08-02,3.003,7735,
2005-08-03,2.968,7735,
2005-08-04,2.989,7735,
2005-08-05,3.021,7735,
2005-08-06,3.037,7735,
2005-08-07,3.047,7735,
2005-08-08,3.065,7735,
2005-08-09,3.092,7735,
2005-08-10,3.083,7735,
2005-08-11,2.952,7735,
2005-08-12,3.269,7735,
2005-08-13,3.102,7735,
2005-08-14,3.099,7735,
2005-08-15,3.099,7735,
2005-08-16,3.075,7735,
2005-08-17,3.07,7735,
2005-08-18,3.052,7735,
2005-08-19,3.079,7735,
2005-08-20,3.092,7735,
2005-08-21,3.102,7735,
2005-08-22,3.092,7735,
2005-08-23,3.079,7735,
2005-08-24,3.066,7735,
2005-08-25,3.058,7735,
2005-08-26,3.058,7735,
2005-08-27,3.061,7735,
2005-08-28,3.122,7735,
2005-08-29,3.094,7735,
2005-08-30,2.978,7735,
2005-08-31,2.956,7735,
2005-09-01,2.988,7735,
2005-09-02,3.007,7735,
2005-09-03,3.018,7735,
2005-09-04,3.026,7735,
2005-09-05,2.995,7735,
2005-09-06,3.011,7735,
2005-09-07,3.008,7735,
2005-09-08,3.095,7735,
2005-09-09,3.106,7735,
2005-09-10,3.079,7735,
2005-09-11,3.083,7735,
2005-09-12,3.059,7735,
2005-09-13,2.995,7735,
2005-09-14,2.986,7735,
2005-09-15,2.957,7735,
2005-09-16,2.981,7735,
2005-09-17,2.994,7735,
2005-09-18,3.053,7735,
2005-09-19,3.078,7735,
2005-09-20,3.037,7735,
2005-09-21,2.991,7735,
2005-09-22,2.976,7735,
2005-09-23,2.955,7735,
2005-09-24,2.919,7735,
2005-09-25,2.901,7735,
2005-09-26,2.939,7735,
2005-09-27,2.857,7735,
2005-09-28,2.843,7735,
2005-09-29,3.049,7735,
2005-09-30,3.077,7735,
2005-10-01,3.091,7735,
2005-10-02,3.119,7735,
2005-10-03,3.091,7735,
2005-10-04,3.042,7735,
2005-10-05,3.107,7735,
2005-10-06,3.152,7735,
2005-10-07,3.15,7735,
2005-10-08,3.144,7735,
2005-10-09,3.031,7735,
2005-10-10,3.017,7735,
2005-10-11,2.916,7735,
2005-10-12,2.951,7735,
2005-10-13,2.937,7735,
2005-10-14,3.088,7735,
2005-10-15,3.139,7735,
2005-10-16,3.074,7735,
2005-10-17,3.175,7735,
2005-10-18,3.143,7735,
2005-10-19,3.154,7735,
2005-10-20,3.062,7735,
2005-10-21,3.069,7735,
2005-10-22,3.118,7735,
2005-10-23,3.087,7735,
2005-10-24,3.057,7735,
2005-10-25,3.148,7735,
2005-10-26,3.035,7735,
2005-10-27,3.128,7735,
2005-10-28,3.237,7735,
2005-10-29,3.079,7735,
2005-10-30,3.058,7735,
2005-10-31,3.211,7735,
2005-11-01,3.239,7735,
2005-11-02,3.332,7735,
2005-11-03,3.634,7735,
2005-11-04,3.37,7735,
2005-11-05,3.317,7735,
2005-11-06,3.318,7735,
2005-11-07,3.203,7735,
2005-11-08,3.007,7735,
2005-11-09,2.998,7735,
2005-11-10,3.081,7735,
2005-11-11,3.081,7735,
2005-11-12,3.03,7735,
2005-11-13,3.191,7735,
2005-11-14,3.021,7735,
2005-11-15,2.978,7735,
2005-11-16,2.998,7735,
2005-11-17,2.925,7735,
2005-11-18,2.903,7735,
2005-11-19,2.941,7735,
2005-11-20,2.946,7735,
2005-11-21,2.919,7735,
2005-11-22,2.935,7735,
2005-11-23,2.948,7735,
2005-11-24,3.027,7735,
2005-11-25,3.116,7735,
2005-11-26,2.975,7735,
2005-11-27,2.95,7735,
2005-11-28,3.034,7735,
2005-11-29,3.196,7735,
2005-11-30,3.112,7735,
2005-12-01,3.267,7735,
2005-12-02,3.27,7735,
2005-12-03,3.086,7735,
2005-12-04,2.949,7735,
2005-12-05,2.927,7735,
2005-12-06,2.848,7735,
2005-12-07,2.85,7735,
2005-12-08,2.787,7735,
2005-12-09,2.759,7735,
2005-12-10,2.834,7735,
2005-12-11,2.983,7735,
