Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-30,2021,9,30,,15.1,,12.2,,13.7,,4.3,,0,,,,,,27.8,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-29,2021,9,29,,13.3,,10.7,,12,,6,,0,,,,,,15.3,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-28,2021,9,28,,17.4,,11.7,,14.6,,3.4,,0,,,,,,10.2,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-27,2021,9,27,,15.6,,12.7,,14.1,,3.9,,0,,,,,,8.3,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-26,2021,9,26,,16.8,,12.5,,14.6,,3.4,,0,,,,,,23.5,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-25,2021,9,25,,22.3,,11.8,,17,,1,,0,,,,,,0,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-24,2021,9,24,,19.7,,11.2,,15.4,,2.6,,0,,,,,,0,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-23,2021,9,23,,18.6,,11.9,,15.2,,2.8,,0,,,,,,0,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-22,2021,9,22,,18.6,,12.4,,15.5,,2.5,,0,,,,,,1,,,,,M,,M
-123.12,49.3,VANCOUVER HARBOUR CS,1108446,2021-09-21,2021,9,21,,18.8,,11.6,,15.2,,2.8,,0,,,,,,0,,,,,M,,M
